,name,link,city,main_link,vacancy_id,max_salary,currency,min_salary
0,Ведущий бизнес-аналитик сектора анализа ГИС,https://superjob.ru/vakansii/veduschij-biznes-analitik-sektora-analiza-gis-34067166.html,Краснодар,https://superjob.ru,34067166,,,
1,Аналитик (специалист),https://superjob.ru/vakansii/analitik-34124201.html,Москва,https://superjob.ru,34124201,,,
2,Web аналитик,https://superjob.ru/vakansii/web-analitik-34123123.html,Москва,https://superjob.ru,34123123,120000.0,руб.,
3,Системный аналитик (с функцией построения бизнес процессов),https://superjob.ru/vakansii/sistemnyj-analitik-34086308.html,Москва,https://superjob.ru,34086308,,,
4,Бизнес-аналитик,https://superjob.ru/vakansii/biznes-analitik-34131652.html,Снегири,https://superjob.ru,34131652,,,
5,Экономист-аналитик,https://superjob.ru/vakansii/ekonomist-analitik-34124185.html,Москва,https://superjob.ru,34124185,,,
6,Ведущий IT аналитик,https://superjob.ru/vakansii/veduschij-it-analitik-34185757.html,Москва,https://superjob.ru,34185757,,руб.,150000.0
7,Маркетолог-аналитик качественных и кабинетных исследований,https://superjob.ru/vakansii/marketolog-analitik-kachestvennyh-i-kabinetnyh-issledovanij-34130816.html,Москва,https://superjob.ru,34130816,,,
8,"Эксперт-аналитик, специалист по экономике труда",https://superjob.ru/vakansii/ekspert-analitik-34139071.html,Москва,https://superjob.ru,34139071,,,
9,Старший бизнес-аналитик,https://superjob.ru/vakansii/starshij-biznes-analitik-34043317.html,Москва,https://superjob.ru,34043317,,,
10,Аналитик решений для моделирования hadoop,https://superjob.ru/vakansii/analitik-reshenij-dlya-modelirovaniya-hadoop-34185550.html,Москва,https://superjob.ru,34185550,,,
11,Аналитик департамента управления продажами,https://superjob.ru/vakansii/analitik-departamenta-upravleniya-prodazhami-34130602.html,Москва,https://superjob.ru,34130602,,,
12,Системный аналитик,https://superjob.ru/vakansii/sistemnyj-analitik-34085659.html,Тула,https://superjob.ru,34085659,,руб.,50000.0
13,Аналитик,https://superjob.ru/vakansii/analitik-34178496.html,Москва,https://superjob.ru,34178496,,,
14,Финансовый аналитик,https://superjob.ru/vakansii/finansovyj-analitik-33956025.html,Пенза,https://superjob.ru,33956025,,,
15,Аналитик отдела закупок и категорийного управления,https://superjob.ru/vakansii/analitik-otdela-zakupok-i-kategorijnogo-upravleniya-34107416.html,Мытищи,https://superjob.ru,34107416,65000.0,руб.,60000.0
16,Аналитик по производству,https://superjob.ru/vakansii/analitik-po-proizvodstvu-34100798.html,Москва,https://superjob.ru,34100798,,,
17,Бизнес-аналитик отдела управления запасами,https://superjob.ru/vakansii/biznes-analitik-otdela-upravleniya-zapasami-34122124.html,Москва,https://superjob.ru,34122124,,,
18,Аналитик внедрения 1С,https://superjob.ru/vakansii/analitik-vnedreniya-1s-34051963.html,Екатеринбург,https://superjob.ru,134051963,,,
19,Бизнес-аналитик (Цифровые сервисы),https://superjob.ru/vakansii/biznes-analitik-34084946.html,Москва,https://superjob.ru,34084946,,,
